Vulnerability,URL
Session Management Response Identified,https://brokencrystals.com/
Session Management Response Identified,https://brokencrystals.com/
Session Management Response Identified,https://brokencrystals.com/api/config
Session Management Response Identified,https://brokencrystals.com/assets/index-Bm2fv7OY.css
Session Management Response Identified,https://brokencrystals.com/assets/vendor/jquery.easing/jquery.easing.min.js
Session Management Response Identified,https://brokencrystals.com/assets/vendor/venobox/venobox.css
Session Management Response Identified,https://brokencrystals.com/css/theme.css
Session Management Response Identified,https://brokencrystals.com/favicons/apple-icon-180x180.png
Session Management Response Identified,https://brokencrystals.com/favicons/favicon-32x32.png
Session Management Response Identified,https://brokencrystals.com/manifest.json
Session Management Response Identified,https://brokencrystals.com/robots.txt
Session Management Response Identified,https://brokencrystals.com/vendor/slick/slick.css
Storable and Cacheable Content,https://brokencrystals.com/api/config
Storable and Cacheable Content,https://brokencrystals.com/sitemap.xml
Storable but Non-Cacheable Content,https://brokencrystals.com/
Storable but Non-Cacheable Content,https://brokencrystals.com/assets/index-Bm2fv7OY.css
Storable but Non-Cacheable Content,https://brokencrystals.com/assets/vendor/venobox/venobox.css
Storable but Non-Cacheable Content,https://brokencrystals.com/css/theme.css
Storable but Non-Cacheable Content,https://brokencrystals.com/favicons/apple-icon-180x180.png
Storable but Non-Cacheable Content,https://brokencrystals.com/favicons/favicon-32x32.png
Storable but Non-Cacheable Content,https://brokencrystals.com/manifest.json
Storable but Non-Cacheable Content,https://brokencrystals.com/robots.txt
Storable but Non-Cacheable Content,https://brokencrystals.com/vendor/slick/slick.css
Storable but Non-Cacheable Content,https://brokencrystals.com/vendor/wow/animate.css
