Vulnerability,URL
Re-examine Cache-control Directives,https://homework-600200124830.us-central1.run.app/projects
Re-examine Cache-control Directives,https://homework-600200124830.us-central1.run.app/resume
Storable and Cacheable Content,https://homework-600200124830.us-central1.run.app/
Storable and Cacheable Content,https://homework-600200124830.us-central1.run.app/home
Storable and Cacheable Content,https://homework-600200124830.us-central1.run.app/piano.html
Storable and Cacheable Content,https://homework-600200124830.us-central1.run.app/projects
Storable and Cacheable Content,https://homework-600200124830.us-central1.run.app/robots.txt
Storable and Cacheable Content,https://homework-600200124830.us-central1.run.app/sitemap.xml
Storable but Non-Cacheable Content,https://homework-600200124830.us-central1.run.app/static/main/css/footer.css
Storable but Non-Cacheable Content,https://homework-600200124830.us-central1.run.app/static/main/css/header.css
Storable but Non-Cacheable Content,https://homework-600200124830.us-central1.run.app/static/main/css/main.css
Storable but Non-Cacheable Content,https://homework-600200124830.us-central1.run.app/static/main/css/navbar.css
Storable but Non-Cacheable Content,https://homework-600200124830.us-central1.run.app/static/main/js/navbar.js
